abuse,abuse_keywords
"kamu alay banget","alay"
"dasar ampas kamu","ampas"
"buta","buta"
"keparat","keparat"
"kamu anjing banget","anjing"
"anjir","anjir"
"babi","babi"
"bacot","bacot"
"bajingan","bajingan"
"banci","banci"
"bandot","bandot"
"buaya","buaya"
"bangkai","bangkai"
"bangsat","bangsat"
"bego","bego"
"bejat","bejat"
"bencong","bencong"
"berak","berak"
"bisu","bisu"
"celeng","celeng"
"jancuk","jancuk"
"bodoh","bodoh"
"berengsek","berengsek"
"budek","budek"
"burik","burik"
"jamban","jamban"
"cocot","cocot"
"congor","congor"
"culun","culun"
"cupu","cupu"
"dongok","dongok"
"dungu","dungu"
"edan","edan"
"tai","tai"
"ngewe","ngewe"
"geblek","geblek"
"gembel","gembel"
"gila","gila"
"goblok","goblok"
"iblis","iblis"
"idiot","idiot"
"jablay","jablay"
"jembud","jembud"
"jembut","jembut"
"jijik","jijik"
"kacrut","kacrut"
"kafir","kafir"
"modar","modar"
"kampang","kampang"
"kampret","kampret"
"kampungan","kampungan"
"kimak","kimak"
"kontol","kontol"
"kunti","kunti"
"tuyul","tuyul"
"kunyuk","kunyuk"
"mampus","mampus"
"memek","memek"
"monyet","monyet"
"najis","najis"
"nete","nete"
"ngentot","ngentot"
"noob","noob"
"pecun","pecun"
"perek","perek"
"sampah","sampah"
"sarap","sarap"
"setan","setan"
"silit","silit"
"bokong","bokong"
"sinting","sinting"
"sompret","sompret"
"sontoloyo","sontoloyo"
"terkutuk","terkutuk"
"titit","titit"
"pantat","pantat"
"tolol","tolol"
"udik","udik"
"antek","antek"
"asing","asing"
"ateis","ateis"
"sitip","sitip"
"autis","autis"
"picek","picek"
"ayam kampus","ayam kampus"
"bani kotak","bani kotak"
"bispak","bispak"
"bisyar","bisyar"
"bokep","bokep"
"bong","bong"
"cacat","cacat"
"cct","cct"
"cebong","cebong"
"taplak","taplak"
"cungkring","cungkring"
"gay","gay"
"gembrot","gembrot"
"gendut","gendut"
"hina","hina"
"homo","homo"
"komunis","komunis"
"koreng","koreng"
"krempeng","krempeng"
"lengser","lengser"
"lesbi","lesbi"
"lgbt","lgbt"
"lonte","lonte"
"mucikari","mucikari"
"munafik","munafik"
"ngaceng","ngaceng"
"nista","nista"
"kejam","kejam"
"onta","onta"
"panastak","panastak"
"panasbung","panasbung"
"bani","bani"
"pasukan nasi","pasukan nasi"
"porno","porno"
"seks","seks"
"rejim","rejim"
"rezim","rezim"
"sange","sange"
"serbet","serbet"
"sipit","sipit"
"transgender","transgender"
"kamu bangsat banget","bangsat"
"goblok lo","goblok"
"mampus loh","mampus"
"anjing lo","anjing"
"lo bodoh banget","bodoh"
"kampret lo","kampret"
"lo emang bego","bego"
"gue jijik banget sama lo","jijik"
"lo otak sampah","sampah"
"anjing lo bener-bener","anjing"
"lo bukan manusia","manusia"
"gila banget sih lo","gila"
"babi lo","babi"
"kesel banget gue sama lo","kesel"
"lo pikir lo siapa","siapa"
"keparat lo","keparat"
"muka lo emang jelek","jelek"
"bodo amat sama lo","bodoh"
"lo harusnya dibuang","buang"
"ngentot lo","ngentot"
"lo cuma bisa ngomong doang","ngomong"
"lo anjing banget sih","anjing"
"lo banci ya","banci"
"lo bejat banget","bejat"
"lo jancuk banget","jancuk"
"bisa-bisa lo dihukum loh","hukum"
"kamu sundala","sundala"